movie_title,genre,director,lead_actor,production_company,country_of_origin,language,rating,box_office_sales,budget,release_date,digital_release_date
Nancy Drew,Adventure|Crime|Thriller,Damian Sreenan,Husein Ninnoli,Mynte,Argentina,Oromo,2.6,7693550.11,37756.02,10/22/2025,3/18/2025
Cartouche,Action|Adventure|Comedy|Drama,Nil Archbell,Stephenie Keates,Quire,Tunisia,Norwegian,2.5,3255991.44,66536.48,12/18/2004,1/25/2020
"Crew, The",Comedy,Sacha Alexandersson,Morgun Baumford,Zoomzone,Russia,Chuvash,2.9,8003933.64,73594.15,9/15/2008,10/12/2023
Extraterrestrial,Horror|Sci-Fi,Carolan McKeating,Georgeanna Pepye,Eazzy,Czech Republic,Kashmiri,7.9,3105587.39,32769.19,12/3/2009,12/14/2024
Talk of Angels,Drama,Roselin Painten,Emilia Babb,DabZ,Iraq,Afar,1.3,4314680.97,28958.18,10/17/2002,2/23/2021
Drummer-Crab (Le Crabe-Tambour),Adventure|Drama|War,Brana Caulton,Hall Morant,Omba,Brazil,Limburgan,0.3,8967264.89,63085.71,6/15/2013,4/25/2022
An American Hippie in Israel,Action|Comedy|Sci-Fi,Della Gilby,Dione Sarfass,Oyoyo,Czech Republic,Sanskrit,4.3,8552965.17,92427.65,10/23/2012,4/13/2020
Campus Man,Comedy,Annabelle Lafee,Angil Kidwell,Avaveo,Kazakhstan,Sundanese,8.1,6415224.97,24398.97,3/27/2003,7/15/2020
More Than a Game,Documentary,Granville Rowan,Geoffrey Crone,Devcast,Indonesia,Zulu,1.9,3647862.01,53484.25,6/25/2008,1/1/2021
"American Friend, The (Amerikanische Freund, Der)",Crime|Drama|Mystery|Thriller,Rosy Duxbury,Yolane Jedrzejewski,Dynazzy,Finland,Yiddish,3.9,2923135.89,69296.95,6/4/2003,11/28/2025
Bridget Jones: The Edge of Reason,Comedy|Drama|Romance,Torrey Perks,Livvy Slidders,Edgewire,Peru,Slovak,2.8,2676357.08,23800.2,5/29/2004,5/15/2021
Eden,Drama|Romance,Alexandra Crummay,Binky Esser,Gabtune,Colombia,Abkhazian,3.4,4120166.64,34869.19,4/23/2014,9/10/2023
"Pit and the Pendulum, The",Horror,Evangelina Zaniolini,Ardyce Hallahan,Flipopia,Gambia,Afrikaans,1.8,3513754.85,12896.76,3/27/2017,12/12/2021
Mamitas,Drama,Robenia Swaden,Adan Cartan,Babblestorm,Honduras,Sardinian,6.4,3170381.53,39902.55,1/7/2018,6/2/2025
Beyond Enemy Lines (Framom främsta linjen),Drama|War,Arlena Canto,Florencia Aldhous,Skyba,China,Bosnian,4.1,4823921.29,43143.34,10/13/2018,1/3/2021
Burn,Documentary,Ethelred Worms,Tandie Brome,Wordware,Armenia,"Ndebele, South",2.0,8067225.65,89586.55,10/22/2002,4/6/2023
G Men,Crime|Drama,Dorothy Collumbell,Ashia Godridge,Tagopia,Zimbabwe,Yiddish,8.2,7027965.39,46665.1,11/9/2011,10/25/2022
Ghost Machine,Action|Sci-Fi|Thriller,Joelly Hassall,Saba Marnes,Cogibox,Indonesia,Dutch,5.7,9294443.58,12058.59,12/4/2021,7/6/2022
Eddie,Comedy,Abdul Alcoran,Ly Vinter,Mynte,Philippines,Uzbek,0.7,2618373.49,87772.41,11/19/2012,4/20/2024
Flamenco (de Carlos Saura),Musical,Scarlett Ferens,Lorenza Morgans,Mycat,Indonesia,"Bokmål, Norwegian",5.9,6165839.8,94048.29,4/2/2002,11/15/2024
"Happiest Girl in the World, The (Cea mai fericita fata din lume)",Drama,Curry Oehme,Kaitlyn Healeas,Youtags,Indonesia,Belarusian,1.4,5027491.33,38643.85,2/11/2019,4/8/2022
Indie Game: The Movie,Documentary,Kathrine Skellion,Georgiana Duchesne,Realmix,Peru,Tswana,5.4,6241518.16,47590.25,3/1/2010,7/14/2025
Cool Runnings,Comedy,Glynnis Mirando,Terence MacAlees,Centizu,China,Ganda,3.1,8890617.79,76673.46,12/21/2002,9/17/2024
Exodus (Cheut ai kup gei),Comedy|Crime|Drama,Brewer Mantha,Sarah Gladhill,Innojam,Brazil,Afar,0.4,5475041.87,68309.61,1/13/2026,8/21/2025
Swimming with Sharks,Comedy|Drama,Blakelee Westbrook,Lee Dytham,Skipfire,Portugal,Breton,3.3,7181633.82,50016.33,4/25/2019,1/11/2022
Beneath the Darkness,Thriller,Clemmie Wigelsworth,Jefferson Barneveld,Aivee,Afghanistan,Azerbaijani,0.6,6725537.8,61188.77,6/16/2010,12/14/2024
Samurai Vendetta,Action|Drama,Irina Akess,Harlie Borkett,Zoomcast,Brazil,Chinese,1.4,9966057.65,40462.2,11/27/2018,1/3/2020
Guest from the Future (Gostya iz buduschego),Adventure|Drama|Sci-Fi,Rosalia Veltman,Roana Johananov,Jaxworks,China,Twi,0.8,9892481.54,22983.04,4/2/2026,5/8/2024
Hands Across the Table,Comedy|Romance,Dorice Farlow,Hadlee Meneer,Dynabox,China,"Bokmål, Norwegian",7.0,5147863.83,34858.32,9/14/2000,7/23/2021
A Star Athlete,Comedy|Drama,Filbert Mimmack,Juanita Tothacot,Ooba,Sweden,Czech,5.0,5448144.7,26962.12,4/21/2021,11/8/2025
As Good as Dead,Thriller,Maurie de Villier,Godfree Beentjes,Jabbersphere,Portugal,Venda,6.7,4698846.17,74382.27,8/31/2003,3/1/2020
Four Brothers,Action|Crime|Drama,Tadio Evensden,Petra Penticoot,JumpXS,Cyprus,Hausa,1.2,487318.28,18910.36,4/2/2018,10/3/2021
2:13,Horror|Thriller,Benito Watson-Brown,Athena Petegre,Tanoodle,China,Maltese,3.1,7630449.4,79367.93,11/18/2000,4/10/2021
Starship Troopers,Action|Sci-Fi,Duffie Wrey,Reese Briggs,Yakijo,Finland,Limburgan,3.4,2358076.53,35186.5,3/13/2008,11/2/2025
In a Lonely Place,Drama|Film-Noir|Mystery|Romance,Lynde McCorkindale,Geralda Thiem,Blogtags,Japan,Kashmiri,4.9,8225008.26,93072.32,6/20/2022,12/2/2023
Winnie the Pooh and Tigger Too,Animation|Children,Alejandro Girdlestone,Lacee Hay,Aivee,Norway,Urdu,2.0,754166.75,93003.87,3/18/2001,7/31/2025
Grudge Match,Comedy,Jamie Gosenell,Lombard Merrien,Meetz,Russia,Tonga (Tonga Islands),6.6,1925190.41,84268.65,12/20/2005,10/25/2021
Kids in America,Comedy|Drama,Cammy Carradice,Karena Ibert,Edgeblab,Nigeria,Sundanese,0.8,9985595.25,77796.59,1/4/2009,5/21/2025
Jaws 3-D,Action|Horror,Gothart Ryves,Hogan Icke,Edgepulse,Russia,Bambara,7.8,7183306.25,64380.64,8/6/2021,3/10/2023
Salting the Battlefield,Drama|Mystery|Thriller,Sarena Kelf,Jennie Noke,Tekfly,Finland,Wolof,6.0,1465573.68,16943.4,11/12/2016,2/27/2021
Prime Suspect 2,Crime|Drama|Mystery|Romance|Thriller,Calida Coburn,Josie Decaze,Brightdog,China,Twi,7.3,118431.04,68442.67,4/12/2019,9/3/2023
Open Windows,Crime|Thriller,Wini Conkay,Sofia Nussen,Thoughtbridge,China,Tsonga,1.2,7440994.73,19792.64,9/19/2017,2/13/2020
Lili's Apron,Comedy,Grantley Langman,Irving Michel,Browsetype,Ukraine,Northern Sami,5.4,1318182.06,63753.66,10/12/2021,1/10/2021
Creature with the Atom Brain,Crime|Horror|Sci-Fi,Jennie Derill,Niall Beiderbeck,Voonix,United States,Azerbaijani,1.1,5559382.04,34531.8,11/19/2006,12/12/2025
Sokkotanssi,Comedy|Drama,Llewellyn Hanfrey,Emmi Donnelly,Wordpedia,Indonesia,Interlingue,9.1,2398924.44,67609.65,3/17/2011,4/21/2021
Flashbacks of a Fool,Drama,Adah Reeme,Lisetta Sheed,Flipopia,Russia,Kalaallisut,2.8,9876339.1,63001.32,11/23/2008,12/26/2024
Mystery Team,Comedy|Crime|Mystery,Ellene Colthurst,Jada Folbig,Photofeed,Indonesia,Amharic,7.7,9463504.67,48356.68,1/27/2026,2/15/2020
Lucky Jordan,Comedy|Crime|Drama,Eula McGilvray,Nonnah Simounet,Eare,Russia,Georgian,7.9,5607183.85,47198.09,5/28/2022,7/28/2025
On the Riviera,Comedy|Musical,Kinnie Basford,Mercedes Mowne,Youtags,China,Slovak,2.8,4426819.86,40610.73,12/23/2011,12/29/2023
"Mystery of Picasso, The (Le mystère Picasso)",Documentary,Nigel Axford,Gordy Bedham,Tambee,China,Kannada,7.6,301460.78,14660.14,7/27/2008,1/16/2025
Kill Me Later,Romance|Thriller,Vinni Tethcote,Ophelia Groves,Wordware,China,Spanish,4.1,5763398.91,83368.64,2/21/2002,9/11/2021
Who's Camus Anyway? (Kamyu nante shiranai),Drama,Lynnelle Skingley,Liam Loutheane,Twiyo,China,Akan,0.2,4315791.63,41681.34,12/30/2012,12/7/2024
Storm,Drama,Jerrie Caw,Kean Colly,Ntag,China,Norwegian,5.9,3929798.78,17942.5,6/15/2017,2/8/2022
"Spanish Prisoner, The",Crime|Drama|Mystery|Thriller,Ricky Vreede,Cullie Spaldin,Pixope,Croatia,Church Slavic,1.9,5090192.27,85848.19,3/4/2006,10/19/2024
Dot and the Whale,Animation|Children,Maddy Gandrich,Catina Stilgoe,Brainbox,China,Kirghiz,1.3,5171200.69,23334.51,1/1/2017,4/25/2022
Battle Beyond the Stars,Sci-Fi,Tonie Fooks,Misty Climance,Jetpulse,Philippines,Rundi,10.0,3987927.23,88951.54,11/5/2017,7/2/2021
Lethal Weapon 2,Action|Comedy|Crime|Drama,Bat Melbourn,Dorris Konzel,Skyba,Ireland,Albanian,7.9,999399.83,64797.44,10/18/2000,7/11/2022
"He Said, She Said",Comedy|Drama|Romance,Dalt Arundell,Trula Leet,Oodoo,China,Maltese,6.3,3775661.41,29655.67,10/18/2000,11/3/2024
John Carter,Action|Adventure|Sci-Fi|IMAX,Laurette Caroli,Barny Regelous,Dynazzy,Greece,Macedonian,7.1,1153241.61,97259.22,12/8/2015,6/29/2023
Shanghaied,Comedy,Kamillah Landre,Kath Loder,Yozio,Iran,Komi,0.8,7459398.35,93047.77,8/8/2001,6/15/2023
Aces: Iron Eagle III,Action,Carolee Vittori,Bren Mutimer,Nlounge,Argentina,Ukrainian,9.0,2154025.69,71209.56,9/12/2014,10/1/2023
Lotto Land,Drama,Marney Tarbatt,Ward Clough,Yakijo,Ukraine,Slovak,1.2,6836330.37,91726.3,12/2/2021,9/25/2023
Salvador,Drama|Thriller|War,Jeanelle Celloni,Trip Drover,Omba,Indonesia,Fijian,8.9,2223413.84,71579.81,6/28/2000,2/1/2023
Crimes of Passion,Drama|Romance|Thriller,Alfons Antonowicz,Grazia Reddick,Brainlounge,China,Kurdish,6.6,7880690.69,99865.53,1/15/2015,5/9/2025
Independencia,Drama,Rupert Entreis,Edee Antuk,Feednation,Russia,Spanish,0.2,6992602.44,47199.19,12/3/2013,1/3/2025
Evelyn,Drama,Alfredo Howells,Carlin Sisnett,Blogspan,Poland,Dzongkha,3.4,8738258.54,15674.7,5/24/2001,3/19/2022
People on Sunday (Menschen am Sonntag),Documentary|Drama|Romance,Kaitlynn Abreheart,Paulette Dowdall,Devify,South Africa,Norwegian Nynorsk,6.0,2129794.66,44983.56,4/29/2018,10/26/2021
Lawman,Western,Iona Passman,Elmore Nassau,Avamm,Indonesia,Albanian,5.1,896504.79,78169.93,10/11/2000,9/6/2020
How to Cook Your Life,Documentary,Northrup Milner,Clemmy Walasik,Feedfire,Philippines,Kalaallisut,6.8,6106211.55,19714.24,7/31/2024,10/8/2022
"Gospel of John, The",Drama,Maryrose Casino,Elyssa MacFadin,Einti,Peru,Ossetian,2.5,5740837.48,68150.69,6/2/2024,8/25/2021
S.O.S. Coast Guard,Action|Adventure|Sci-Fi|Thriller,Eloisa Garrioch,Liuka Tanslie,Eabox,Peru,Church Slavic,1.5,5165053.67,41829.94,1/29/2006,7/30/2025
Thoroughly Modern Millie,Comedy|Musical,Porter Swinfon,Arlina Gather,Gigabox,France,Tagalog,1.4,8135832.14,23956.85,7/11/2025,7/4/2024
Dr. Horrible's Sing-Along Blog,Comedy|Drama|Musical|Sci-Fi,Norbert Dutton,Major Lafoy,Thoughtblab,Russia,"Ndebele, North",6.1,3052768.09,72807.47,3/24/2000,9/4/2021
Vicky Donor,Comedy|Romance,Jarad Jodrellec,Ealasaid Newbery,Photobug,China,Gaelic,8.4,5084822.5,45349.76,6/12/2013,4/16/2026
Emil i Lönneberga,Children|Drama,Rustie Learmouth,Alistair McVee,Gigaclub,China,Interlingue,8.6,2853955.63,99722.13,10/26/2025,8/9/2025
Conan the Destroyer,Action|Adventure|Fantasy,Jamesy Lemary,Basile Noell,BlogXS,Sweden,Inupiaq,9.6,2399979.25,68164.04,1/23/2023,6/22/2023
Adventures of Kitty O'Day (Kitty O'Day Comes Through),Comedy|Crime|Mystery|Romance,Nicola Bavridge,Cassie Bonwell,Gabcube,Vietnam,"Ndebele, North",4.5,4094013.08,42245.19,10/27/2007,11/8/2024
Live-In Maid (Cama adentro),Drama,Glyn Bock,Kinny Wloch,Realbuzz,China,Kanuri,8.2,6143011.58,74783.83,6/29/2023,7/4/2023
Houdini,Drama,Tonie Sheepy,Farrah Sprouls,Aivee,Portugal,Zhuang,2.5,3744501.02,42317.48,5/19/2019,8/27/2025
"Trip to the Moon, A (Voyage dans la lune, Le)",Action|Adventure|Fantasy|Sci-Fi,Zorine Meaney,Whittaker Grimmett,Rhyloo,China,Samoan,4.7,7039976.74,66191.14,3/2/2004,10/21/2024
Stay Hungry,Comedy|Drama,Cord Tidbold,Addi Paddefield,Oodoo,China,Quechua,6.8,5522496.95,10371.11,5/10/2016,5/8/2024
When Darkness Falls (När mörkret faller),Drama,Glynnis Klempke,Kathlin Harkess,Gigabox,Austria,Portuguese,9.1,2929610.06,26915.51,9/2/2004,7/7/2021
"Last Tycoon, The",Drama|Romance,Rosa Gorries,Harli Wysome,Topicware,Japan,Luxembourgish,0.1,3395357.97,43596.1,8/18/2009,7/17/2020
Day of the Dead,Horror,Horace Wyborn,Marlee Gadson,Tagchat,France,Korean,4.7,413072.94,14965.76,8/6/2008,12/24/2024
"Blue Angel, The (Blaue Engel, Der)",Drama,Andris Cancelier,Boris Nickerson,Edgeclub,Chile,Limburgan,0.4,1153190.75,37182.77,3/12/2024,6/20/2024
Body Parts,Horror|Thriller,Jordan Fronks,Yul Bourton,Mynte,Indonesia,Yiddish,1.3,8576566.78,57718.42,2/23/2018,11/8/2020
"Good Doctor, The",Drama|Mystery|Thriller,Dottie Assante,Maurise Gillions,Vidoo,Poland,Uzbek,6.4,9658246.16,69215.4,2/8/2005,2/9/2021
Angels in the Outfield,Children|Comedy,Kingsly Maddison,Rudy Challiss,Dabtype,Burkina Faso,Central Khmer,5.1,2451894.94,21922.9,5/26/2020,4/17/2025
Gunfighter's Moon,Romance|Western,Rory Garrique,Quintus Boules,Linkbuzz,Aruba,Ndonga,5.9,9240480.12,55238.24,12/17/2004,7/25/2022
Les disparus de Saint-Agil,Drama|Mystery,Madeline Smails,Ferrel Swine,Roodel,Mexico,Korean,1.9,7797763.2,81495.5,5/19/2011,2/3/2020
Speed Racer,Action|Children|Sci-Fi|IMAX,Shay Deem,Matilda Dawdry,Bubbletube,Belarus,Slovak,7.3,8635692.96,20638.07,3/23/2007,8/2/2025
Crac,Animation,Annetta Gives,Ezri Chuck,Browsedrive,Poland,Javanese,9.9,3803726.03,31030.04,7/14/2017,3/24/2022
State Property 2,Action|Crime|Drama,Miranda Adicot,Vilhelmina Kruschov,Photojam,North Korea,Korean,3.0,6655332.87,96792.91,6/13/2022,5/15/2021
"Teahouse of the August Moon, The",Comedy,Koren Jessup,Giralda Deverell,Kayveo,Venezuela,Corsican,4.3,5512152.49,29120.08,1/12/2013,5/4/2024
"Alligator People, The",Horror,Pippa Briereton,Cecily Von Salzberg,Jaloo,Ireland,Lithuanian,4.0,4684354.65,83178.96,6/11/2004,3/25/2022
Dragon Seed,Drama,Hyacinthe Loxdale,Diarmid Mosedale,Skilith,Indonesia,Bislama,7.1,5286619.46,57565.61,9/17/2009,9/11/2025
Boys Life 3,Drama,Clevie Ashby,Costa Drennan,Meevee,Greece,Fulah,7.0,4147223.57,53963.79,12/20/2016,6/25/2025
"Surfer, Dude",Comedy,Natty Picton,Jens Harewood,Photobug,Sweden,Slovak,3.6,3431254.51,67592.83,7/26/2003,4/4/2023
My Wife Is a Gangster (Jopog manura),Action|Comedy|Romance,Ottilie Allbrook,Monti Holt,Rhyzio,Philippines,Slovenian,1.4,1096672.8,38325.11,9/7/2013,5/5/2022
Beowulf & Grendel,Action|Adventure|Drama|Fantasy,Prentiss Wyborn,Godfrey Brickhill,Trudoo,Indonesia,Ganda,8.4,8345020.88,47670.86,11/7/2005,10/30/2021
"Forever, Darling",Comedy|Fantasy,Virgilio McCathy,Shelby Tallquist,Cogidoo,Philippines,Amharic,2.0,1268325.12,13057.04,6/10/2010,7/18/2022
Fame,Comedy|Drama|Musical|Romance,Alair Paynes,Artur O'Hederscoll,Wikizz,China,Fijian,0.6,4279780.36,24112.59,7/28/2015,6/9/2024
Romy and Michele's High School Reunion,Comedy,Field Harradine,Vinnie McGrirl,Layo,Portugal,Ndonga,1.9,390420.38,35535.68,8/4/2014,4/27/2023
"Lost Embrace (Abrazo partido, El)",Comedy|Drama,Muriel Whiles,Charmaine Alldis,Meezzy,Czech Republic,English,0.6,5160534.89,82679.72,12/3/2022,9/25/2022
Dracula Untold,Action|Drama|Fantasy,Adrianna Gunning,Hugh Penbarthy,Vipe,China,Zulu,7.3,3323987.7,85791.95,9/29/2000,8/9/2021
Birds of America,Comedy|Drama,Jocelin Dulson,Gratia Kemston,Topicshots,Peru,Kannada,9.9,2049601.41,89736.66,9/1/2003,10/12/2021
"Crazy Class Wakes Up, The (Hababam sinifi uyaniyor)",Comedy,Brita McGahern,Kiri Wabersinke,Quire,China,Malagasy,1.7,9961073.65,89217.24,2/5/2013,4/13/2025
Ocean Waves (Umi ga kikoeru),Animation|Drama|Romance,Retha Mariyushkin,Haydon Silverston,Devify,Indonesia,Kazakh,9.3,2954687.03,97630.18,4/23/2007,12/13/2023
Foon,Comedy,Wenda McLelland,Jefferson Pollie,Meembee,Georgia,Samoan,2.1,8441428.6,28629.55,10/24/2017,3/22/2025
Six Shooter,Comedy|Drama,Ivor Cicci,Ursulina MacGilrewy,Fivechat,Sweden,Sango,0.3,6165708.46,60962.31,1/18/2003,5/15/2021
Jolene,Drama,Appolonia Claremont,Bella Breton,Talane,Portugal,Hausa,6.5,2388565.71,61113.4,1/5/2002,2/17/2022
Hoodoo Ann,Comedy|Drama|Romance,Larina Annes,Herold Lappin,Dabvine,China,Catalan,3.2,9722096.12,90821.98,6/28/2016,7/18/2021
"Mindscape of Alan Moore, The",Documentary,Tammara Linsley,Ethelyn Babon,Zooxo,Indonesia,Thai,4.4,1763531.01,67264.57,4/19/2014,11/2/2025
Nightwing,Horror,Mathew Pincott,Maxie Patkin,Leenti,Indonesia,English,5.9,2807264.65,11174.65,11/16/2024,8/18/2024
Mr. Freedom,Comedy,Foss Haylett,Horacio Collop,Digitube,Thailand,Abkhazian,6.7,3709965.3,99267.68,9/22/2015,11/9/2022
"Bamba, La",Drama,Madge Cowlin,Gerta Wartonby,Youspan,France,Assamese,6.6,2508930.61,74514.43,2/5/2006,7/26/2023
Things Are Tough All Over,Comedy,Wyatt Aldwinckle,Hailey Ratledge,Bluezoom,Poland,Shona,6.7,1805650.76,91486.91,10/9/2018,5/24/2021
Chaos,Action|Crime|Drama|Thriller,Mortimer Noyce,Jacquenette Fairbrother,Geba,Argentina,Marathi,8.5,3821391.89,96674.04,3/2/2006,7/15/2021
"Objective, Burma!",War,Tulley Figura,Molly Godsal,Thoughtworks,Serbia,Nauru,1.6,9109077.1,29148.95,3/29/2013,2/16/2023
Driven to Kill,Action|Crime|Thriller,Julita Crux,Boy Ordemann,Skiba,Indonesia,Chichewa,1.8,3395578.43,70353.07,7/21/2017,4/2/2023
X-Men: The Last Stand,Action|Sci-Fi|Thriller,Hamel Writer,Tann Stormes,Livefish,China,Tigrinya,4.0,9302828.44,55583.55,7/4/2000,3/18/2022
Expecting Love (Mala wielka milosc),Comedy|Romance,Bernarr Gaw,Antonina Fearnside,Kanoodle,Indonesia,Bislama,1.5,5154813.37,72964.17,3/19/2013,6/13/2022
47 Ronin,Action|Adventure|Fantasy,Antonietta Beards,Tod Bowdery,Oloo,China,Bulgarian,7.2,8100887.96,80331.29,7/22/2017,5/28/2021
Hobson's Choice,Comedy|Drama|Romance,Ailey Medendorp,Erv Scoffins,BlogXS,France,Fulah,2.4,2987020.29,85927.56,12/23/2006,1/12/2026
Liebestraum,Mystery|Thriller,Urbano Belsham,Thedric Cardello,Flashdog,China,Georgian,9.6,6699298.8,69318.74,8/15/2018,7/22/2023
Troubled Water (DeUsynlige),Drama|Thriller,Les Ivanikhin,Annmaria Cumes,Topicshots,France,Burmese,7.6,8550298.85,81532.78,2/24/2025,3/15/2023
Dogville,Drama|Mystery|Thriller,Reba Kyberd,Doreen Daspar,Bubblebox,China,Sundanese,5.9,5026924.96,10351.39,1/30/2026,1/11/2025
Sanshiro Sugata (Judo Saga) (Sugata Sanshirô),Action|Adventure|Drama,Flss Gallen,Eddi Wyld,Camimbo,Indonesia,Swati,1.4,9180933.71,37542.39,5/14/2022,3/24/2021
The Road to Glory,Drama|War,Robyn Foucar,Pail McNeish,Oloo,France,Irish,9.3,5023249.21,96146.05,1/16/2015,9/12/2025
Naked Killer (Chik loh go yeung),Action|Crime|Drama|Thriller,Leanna Walkowski,Amalie Neissen,Voolia,China,Icelandic,2.5,9078380.8,13799.47,8/6/2018,10/13/2020
Dracula A.D. 1972,Horror|Thriller,Jesselyn Ivan,Sidonia Salman,Edgewire,Moldova,Slovak,0.5,1291963.7,53912.71,12/31/2009,7/27/2025
Ten Skies,Documentary,Tobe Molloy,Don Fessler,Wordify,Indonesia,Bislama,1.2,3766230.44,51810.45,3/17/2010,11/4/2021
Brain Dead,Horror|Sci-Fi,Dugald Elintune,Merci Axell,Topicware,Mauritius,Tatar,5.7,424052.92,92101.23,11/2/2024,2/6/2021
Uncle Nino,Comedy,Magnum Trobe,Cecilius Rosenbusch,Oyope,Austria,Kirghiz,0.6,2026875.79,44823.24,10/7/2009,8/25/2022
"Witches, The (aka Devil's Own, The)",Horror,Alejoa Bracco,Ashli Becom,Voonder,Russia,Herero,7.7,9802331.09,93753.37,3/8/2021,7/4/2025
Wake Island,Drama|War,Anna-maria Faires,Corry Stubley,Digitube,Portugal,Luba-Katanga,6.5,1583540.05,78879.21,12/14/2005,5/30/2023
Kawa,Drama,Virgie Cobbing,Juditha Call,Zoombox,China,Kirghiz,1.7,8326929.07,31955.36,11/10/2002,2/15/2021
Everything,Drama|Mystery,Rooney Powling,Octavius Horney,Dabfeed,Philippines,Swati,7.4,5336485.83,87314.07,11/26/2009,3/16/2022
Homer & Eddie,Drama,Beverlie Fishburn,Ricoriki Sima,InnoZ,South Korea,Lithuanian,6.3,8185656.46,47153.86,4/17/2005,5/16/2025
Kill Me Later,Romance|Thriller,Blondie Thombleson,Darelle MacDearmid,Wikizz,Philippines,Sundanese,7.8,7724744.36,74057.94,5/18/2013,2/13/2024
Rare Birds,Comedy|Drama,Miranda Screeton,Cy Trimnell,Flashdog,Netherlands,Venda,1.4,9265437.15,83401.59,5/31/2001,2/3/2026
Soundtracker,(no genres listed),Standford Scheu,Julio Gwinnell,Flashpoint,Pakistan,Limburgan,8.6,4396042.68,72595.72,12/21/2008,5/1/2022
Predators,Action|Sci-Fi|Thriller,Patrick Taffley,Gretchen Cellier,Shuffletag,China,Afrikaans,9.0,8495308.11,97969.79,9/20/2002,3/6/2023
"Tall Man, The",Crime|Drama|Mystery,Merrick Rudland,Angelle Meakes,Quinu,China,Zulu,3.1,261613.96,65366.02,1/21/2015,2/21/2020
Eva (a.k.a. Eve),Drama,Kelsey McPhaden,Alicia Leyban,Muxo,China,Pushto,8.8,6177536.55,32275.27,4/29/2008,4/16/2021
Crime of Passion,Crime|Drama|Film-Noir,Jerrome Buttler,Ira Kuhle,Twitterlist,Serbia,Manx,7.5,2736427.53,52506.49,9/23/2012,5/5/2024
Bleak Night,Drama,Davita Barz,Hurley Lammerts,Npath,China,Sardinian,4.0,656468.68,85574.3,8/9/2002,2/7/2023
