movie_title,genre,director,lead_actor,production_company,country_of_origin,language,rating,box_office_sales,budget,release_date,digital_release_date
Kikujiro (Kikujirô no natsu),Horror,Jeana Bletsor,Alley Cunio,Ailane,Sweden,Catalan,2.8,8643227.09,987183.48,1/28/2022,10/3/2020
Freud: The Secret Passion,Sci-Fi,Shurlocke MacDermand,Brewer Wheeler,Voolia,Afghanistan,Hiri Motu,7.3,4913794.5,731827.32,9/5/2020,12/25/2015
"Blueprint for Murder, A",Fantasy,Kermit Ollington,Pearce Sisland,Mynte,Laos,Pushto,6.8,6553489.61,461823.24,4/21/2023,3/27/2016
"Nameless, The (Los sin nombre)",Sci-Fi,Freddi Matyja,Cymbre Sarton,Linkbridge,China,Dutch,6.0,9442820.39,763694.52,8/9/2021,12/4/2015
Is the Man Who Is Tall Happy?,Adventure,Marshall Woodhall,Janifer Storah,Layo,Portugal,Sardinian,8.7,1948025.86,27646.82,3/24/2015,1/1/2025
Pirates of the Great Salt Lake,Adventure,Leela Cicci,Aeriela Fairholme,Kamba,China,Divehi,7.6,3500278.67,771528.85,9/8/2023,12/12/2017
Snipes,Sci-Fi,Charlotta Barabisch,Madelin Bockh,Vinder,Lithuania,Dzongkha,0.8,5867926.69,954366.48,11/8/2019,6/8/2022
11.6,Sci-Fi,Rhodia Stainton - Skinn,Carlos Bohlsen,Tagopia,Chile,Persian,2.7,4007017.85,664206.21,3/23/2024,9/17/2023
Angie,Drama,Hal Fardy,Florentia Spyvye,Kwideo,China,Kashmiri,6.2,2511238.6,983015.77,8/6/2020,5/22/2019
"Change-Up, The",Horror,Maximilien Kemmett,Anthe Raoult,Voonix,China,Herero,7.8,7691265.18,605389.04,12/23/2015,5/3/2017
Strings,Horror,Nikolas Shortan,Dyanne Adamolli,Mudo,China,Volapük,7.9,8734407.53,788680.87,2/10/2024,3/24/2025
Burglar,Fantasy,Stu Cowhig,Cheri Rosenbusch,Livepath,China,Oriya,1.3,6855236.6,635159.97,4/30/2016,5/23/2016
Lone Star,Crime,Obadiah Plett,Betsy Maasz,Photospace,Indonesia,Aymara,4.5,6518570.2,673635.54,12/18/2016,9/19/2020
Welcome to the South (Benvenuti al Sud),Adventure,Charlotte Heggadon,Mandi Iwanczyk,Twimbo,Honduras,Thai,9.8,7457753.07,384098.73,8/28/2025,10/11/2017
Enchanted April,Romance,Syd Guitte,Bidget Skoggings,Ailane,Pakistan,Tswana,1.8,9672786.57,48065.31,4/5/2018,3/16/2019
"War Game, The",Thriller,Kipper Reubbens,Rosalie Lucian,Centizu,Philippines,Amharic,3.0,6666099.09,399194.33,2/19/2018,9/11/2018
"Homem Que Desafiou o Diabo, O",Horror,Bennie Osipov,Tuck Dunnet,Zooxo,Macedonia,Bashkir,4.1,3317333.76,489452.2,12/12/2018,11/16/2025
"Cheap Detective, The",Sci-Fi,Ninon Kingh,Blinnie Ivetts,Gigaclub,Pakistan,Kikuyu,0.1,419330.27,795201.58,10/24/2019,2/23/2025
Money for Nothing,Action,Bonnee Zebedee,Lawton Minton,Fliptune,Indonesia,Persian,1.8,2156539.74,832543.32,4/7/2021,2/19/2020
Dead of Night,Drama,Haydon McKernan,Veradis Huntley,Divanoodle,China,Korean,0.1,7982069.4,325813.22,6/28/2021,10/15/2023
Cold Moon (Lune froide),Adventure,Carlina Amberg,Carrie Riddel,Divape,Thailand,Afar,7.8,8153120.69,909154.17,7/5/2021,6/10/2022
"Sunchaser, The",Sci-Fi,Rosaline Talman,Waylen Sharrem,Kwilith,China,Aragonese,10.0,6844462.17,162432.05,1/23/2017,5/19/2015
Chillers,Thriller,Norry Ledgard,Griffith Leverington,Trupe,Peru,Nauru,2.0,624004.99,289666.48,3/22/2021,10/5/2018
DiG!,Action,Sonia Hew,Freddy Roache,Yakidoo,Philippines,Tamil,1.6,3826454.07,526719.83,11/23/2025,4/29/2021
"Eila, Rampe and Likka",Horror,Sharai Ianson,Iosep Lawford,Vitz,Colombia,Esperanto,8.7,4109379.96,882109.1,5/8/2022,10/19/2022
Rock 'N' Roll High School,Crime,Nanette Mc Pake,Samara Dannett,Abatz,Indonesia,Ukrainian,1.1,2855959.58,826314.05,10/2/2023,4/13/2020
Mademoiselle,Action,Abagail Clampe,Eadith Najera,Skyvu,Armenia,Macedonian,1.9,5199794.01,748661.14,7/30/2023,8/22/2024
"Play House, The",Crime,Ky Platts,Ulrick Perin,Blogtags,Mexico,Croatian,6.5,5383814.14,257595.54,11/27/2021,4/12/2024
Nancy Goes to Rio,Romance,Zach Strick,Piggy Vignal,Zoomcast,Ivory Coast,Indonesian,1.8,9023158.66,419208.32,2/25/2017,6/11/2020
Kidnapping Mr. Heineken,Adventure,Carley Tinson,Dene Henstone,Muxo,United States,Marathi,1.0,9334220.26,51484.25,11/25/2017,12/18/2020
True Believer,Fantasy,Gan Alsina,Adelice Cambell,Lajo,Nigeria,Sardinian,0.0,7700973.05,496661.67,7/20/2022,6/7/2015
Undead,Comedy,D'arcy Standbrooke,Hollis Foard,Tagpad,Portugal,Wolof,4.1,4285958.56,549885.94,3/4/2018,5/23/2015
My Stepmother Is an Alien,Thriller,Cletus Semmence,Madeline Acland,Tagopia,Indonesia,Avaric,6.3,6418652.16,884216.46,8/4/2024,11/13/2016
Gifted Hands: The Ben Carson Story,Thriller,Grantley Lars,Katharina Everest,Browsecat,Zimbabwe,Uighur,7.5,4785378.63,940846.14,7/26/2016,9/27/2016
Maria's Lovers,Comedy,Granger Ovett,Chiquia Fairlamb,Jabbertype,Venezuela,Luxembourgish,1.8,9036166.85,963286.01,7/23/2025,5/12/2020
Crash Dive,Thriller,Renato Foxen,Sebastiano Brooke,Fliptune,China,Bashkir,9.1,9962232.06,263183.68,7/24/2017,9/7/2024
Felix the Cat: The Movie,Drama,Hartley Miguet,Arlene Webburn,Topiclounge,Bolivia,Haitian,3.3,8268507.97,855696.06,3/18/2021,3/21/2019
Cutie Honey,Thriller,Andriette Gunnell,Rodolph Yegorov,Gabvine,China,Marshallese,7.7,8536114.39,855054.74,10/10/2023,1/11/2016
"Simple Life of Noah Dearborn, The",Horror,Ame Bunker,Wileen Gillio,Tagfeed,Nigeria,Basque,0.5,2203838.33,869328.85,9/19/2022,7/4/2019
Choke,Thriller,Darcee McVittie,Violet Farmery,Brainsphere,Dominican Republic,Tswana,5.9,4232162.04,102143.03,4/13/2023,4/22/2021
Mark of the Devil (Hexen bis aufs Blut gequält),Romance,Dallis Labbet,Aloisia Olivari,Fadeo,Venezuela,Chechen,8.7,6230677.56,500925.44,10/18/2021,11/28/2021
Russian Dolls (Les poupées russes),Crime,Reginauld Weafer,Anna Olford,Eire,Indonesia,Ganda,1.6,9298681.7,820517.3,1/19/2025,5/28/2022
"Babe Ruth Story, The ",Sci-Fi,Ike Robison,Antoinette Shire,Trudeo,Armenia,Divehi,7.0,2370139.86,226080.08,12/12/2023,2/12/2015
Attila (Attila the Hun),Comedy,Marlene Crauford,Elizabet Denes,Tagchat,Russia,Persian,4.3,2298377.91,408149.78,10/14/2022,6/14/2020
"Four-Faced Liar, The",Fantasy,Marshall Egleton,Faydra Mussettini,Yodo,Mexico,Kalaallisut,6.6,2626082.25,821290.4,3/19/2024,4/14/2022
After the Rain (Ame agaru) ,Drama,Teodoro Arangy,Shaylyn Goor,Mita,Indonesia,Navajo,4.3,6956343.07,480190.17,8/23/2019,3/31/2024
Beauty and the Beast (La belle et la bête),Comedy,Rachele Casewell,Hillyer Godball,Skyble,Brazil,Esperanto,4.0,6193568.34,691186.83,4/16/2024,11/27/2019
Batman Beyond: Return of the Joker,Thriller,Monika Pabelik,Merrile Congram,Centizu,Russia,Cornish,8.4,112723.54,835943.81,5/13/2025,9/20/2024
The Care Bears Adventure in Wonderland,Crime,Freddy Clausson,Lynsey Cargon,Vitz,Indonesia,Breton,1.7,9316987.6,611762.19,5/5/2017,1/25/2017
Beverly Hills Ninja,Horror,Burt Strickler,Cathlene Galpen,Voonix,Brazil,Divehi,7.1,2008022.68,196519.62,9/23/2022,1/16/2021
Machine Gun McCain (Gli intoccabili),Drama,Murvyn Hilbourne,Broderick Wimsett,Youspan,China,Tatar,2.9,1132191.75,523261.71,5/11/2023,8/28/2022
Eve's Bayou,Sci-Fi,Vinny Trevaskis,Rosanna Fenix,Centimia,China,Limburgan,9.8,1333522.46,234620.96,10/22/2016,9/21/2018
"Murder, He Says",Thriller,Christalle Attree,Sheilah Celli,Gabcube,Paraguay,Tibetan,9.4,9616297.57,846069.49,7/3/2015,5/18/2024
"Last Hard Men, The",Thriller,Bessie Skillen,Debora Greenroyd,Thoughtmix,Uzbekistan,Fulah,0.7,3132884.08,467352.32,11/24/2024,5/14/2020
Paper Birds (Pájaros de papel),Horror,Melita Insall,Deny Thoms,Zava,Cuba,Abkhazian,5.6,717873.39,216876.1,4/2/2024,8/31/2022
Surprise,Comedy,Gifford Cahey,Arnie Rabb,Wikido,Thailand,Venda,5.7,8936013.98,585616.11,12/20/2021,9/26/2016
Ghost World,Horror,Clovis Milburn,Shelba Klauber,Oyoloo,China,Xhosa,3.1,946027.97,92115.4,5/20/2019,5/6/2018
Eight Crazy Nights (Adam Sandler's Eight Crazy Nights),Romance,Ramon Crennan,Noel Cutbush,Devbug,China,Welsh,5.1,6711345.59,174190.82,2/5/2025,8/29/2020
"Tom, Dick and Harry",Horror,Traci Griss,Shelagh Wibrow,Thoughtbridge,Bosnia and Herzegovina,Central Khmer,8.4,8822771.17,399096.98,12/10/2023,5/7/2016
"Chronicle of Anna Magdalena Bach, The (Chronik der Anna Magdalena Bach)",Horror,Mady Witchell,Olivero Gioani,Kazio,China,Volapük,0.2,365293.11,47231.13,4/15/2025,4/5/2017
Barry Munday,Fantasy,Josy Dongate,Rudyard Blight,Realmix,Russia,Breton,1.7,2928499.88,659204.85,3/22/2016,3/30/2016
Bridge to the Sun,Crime,Pascal Giacovetti,Heddi Goodyer,Voomm,Libya,Oromo,3.3,8293611.24,324720.35,8/26/2018,5/13/2020
Forbidden Zone,Fantasy,Sonia Pethick,Odessa Aguirre,Zoombox,China,Kanuri,9.9,7683046.47,648228.25,4/5/2015,9/23/2021
Untamed Heart,Action,Katrina Hartgill,Ayn Clapton,Voolith,Portugal,Sinhala,7.7,3194302.21,354203.18,8/30/2020,4/21/2019
Guter Junge,Crime,Amandi Thwaite,Darsey Kiebes,Yodel,Indonesia,Quechua,9.4,9859489.15,376542.73,10/21/2020,3/25/2023
"Last Winter, The",Thriller,Niall Petracco,Billie Knight,Kwilith,Greece,English,3.2,3927386.68,606128.5,5/10/2016,6/27/2023
Crocodile Dundee II,Fantasy,Irina Avramchik,Nomi Bynold,Linkbridge,Brazil,Kazakh,9.9,258464.08,943142.44,3/20/2017,10/4/2020
Ca$h,Fantasy,Bobbee Cadd,Cleo Woolvin,Gigaclub,Indonesia,Russian,7.6,4488454.88,516829.74,8/26/2016,7/25/2023
Suspended Animation,Action,Monica Coch,Hartley O'Dogherty,Oyonder,Syria,Avestan,9.1,5206164.85,645989.39,6/6/2025,4/7/2021
Horns,Thriller,Rae Beslier,Laina Daborn,Topiclounge,Indonesia,Hebrew,2.5,152979.07,62060.78,7/2/2015,4/19/2018
"War Zone, The",Crime,Georgie Suddock,Noami Branscomb,Shufflester,Peru,Nepali,2.7,4563745.47,48822.25,3/13/2019,11/7/2018
Sex and Fury (Furyô anego den: Inoshika Ochô),Fantasy,Justinn Gleeton,Gordie Gellan,Rhyloo,China,Chuvash,2.1,7035124.37,197498.42,2/3/2019,2/25/2021
Lost in the Desert,Comedy,Robers Lipp,Fin Tangye,Zoombeat,Indonesia,Kinyarwanda,0.6,3359737.92,875294.91,5/4/2022,8/4/2018
"Ward, The",Crime,Bianka Lumsdaine,Salvatore Hewlings,Kayveo,Greece,Yiddish,2.4,6843301.77,557430.82,10/18/2020,12/21/2021
Pop Redemption,Comedy,Siffre Jamieson,Wolfy Brazil,Tagpad,Russia,Luba-Katanga,0.5,7786642.38,631049.8,11/22/2024,4/2/2020
There's No Business Like Show Business,Adventure,Dinnie Blakey,Breena Graffham,Bubblebox,United States,Assamese,1.0,5141255.44,87308.88,10/13/2025,5/1/2019
Killing Us Softly 4: Advertising's Image of Women,Fantasy,Constancia Smaile,Ebony Letcher,Yadel,Czech Republic,Gaelic,5.1,9304303.29,125556.21,10/24/2022,11/18/2018
Audition (Konkurs),Adventure,Westley Swatman,Maybelle Varfolomeev,Blogspan,Portugal,Spanish,4.8,8541861.4,983676.99,6/4/2020,2/27/2017
Appleseed Alpha,Action,Jordan Beckson,Woodman Freyn,Gabtype,Japan,Tonga (Tonga Islands),5.9,9678381.29,141254.95,12/22/2020,3/4/2021
"Shock to the System, A",Drama,Eolande Bernli,Justinn Huson,Fatz,France,Uighur,8.4,231884.6,871474.66,6/8/2024,7/4/2018
Torrid Zone,Fantasy,Abbi Matteoli,Sela McMenamin,Pixope,Vietnam,Tajik,4.8,3481916.51,382720.1,4/9/2016,1/26/2018
Naked Lunch,Romance,Orson Kondratovich,Babita Derbyshire,Photospace,Moldova,Kalaallisut,5.8,8176361.94,922101.87,5/7/2020,5/8/2015
"SpongeBob Movie: Sponge Out of Water, The",Romance,Normand Krojn,Amelie Tsar,Kwimbee,Venezuela,Fulah,9.6,6778470.41,673749.86,8/4/2018,3/15/2023
Escape from Alcatraz,Comedy,Jessica Ainger,D'arcy Amoore,Yodo,Sweden,Ewe,5.6,8800349.12,51805.43,3/26/2024,10/3/2018
Teeth,Adventure,Jackelyn Tudbald,Cari Giral,Teklist,France,Croatian,8.4,4895428.98,466845.52,11/23/2019,3/5/2023
Violet & Daisy,Fantasy,Imojean Mariault,Lanny Friary,Zoombox,New Caledonia,Cree,1.0,8652228.19,179054.13,3/19/2020,11/28/2018
Godzilla vs. The Sea Monster (Gojira-Ebira-Mosura: Nankai no daiketto),Sci-Fi,Karla Ashbrook,Dorree Cornilli,Dabshots,Brazil,Croatian,1.4,2179813.26,373944.02,3/28/2017,12/18/2020
Backbeat,Action,Colas Clarkin,Fin Bolderson,Voonyx,United States,Bosnian,9.0,9764859.9,386492.76,10/30/2024,4/6/2023
"Jar, The (Khomreh)",Drama,Waite Backwell,Anthiathia Kaliszewski,Jabbersphere,Finland,Dutch,0.9,3963776.83,76919.09,9/6/2021,10/17/2025
"I Am Taraneh, I Am Fifteen Years Old (Man, taraneh, panzdah sal daram)",Drama,Joann Bediss,Deane Stubbeley,Trudoo,China,German,7.8,2833191.81,903386.53,2/11/2023,2/10/2015
Run for Cover,Comedy,Kellie Harvard,Jo Senett,Devshare,China,Hiri Motu,4.6,4792486.42,270462.3,9/15/2021,5/26/2019
Radio Rebel,Horror,Chrystal Pennicott,Bay Cristofolo,Browseblab,France,Tatar,4.7,9242442.92,588068.77,11/30/2023,8/29/2020
Red Lights (Feux rouges),Comedy,Dimitri Gresly,Kass Quidenham,Podcat,Argentina,"Ndebele, South",6.4,1308257.02,613019.35,9/25/2022,3/16/2018
Komodo,Crime,Clio Fullerton,Nickie Cosser,Edgetag,United States,Azerbaijani,2.3,4296586.21,31054.94,4/25/2017,6/16/2022
"Adventures of Milo and Otis, The (Koneko monogatari)",Horror,Janina Scola,Bobbie Apted,Mydeo,Philippines,Interlingua (International Auxiliary Language Association),6.0,7339954.75,565913.96,12/5/2022,12/17/2019
Congorama,Thriller,Deeanne Pydcock,Diandra Howell,Thoughtworks,Yemen,Basque,9.6,2407870.56,788645.55,1/31/2017,12/15/2024
I Love You Again,Drama,Ermentrude Spawell,Clive Parkyns,Aivee,Bangladesh,Tagalog,0.6,1021843.68,290514.95,11/15/2023,8/8/2018
"Passion of the Christ, The",Fantasy,Elie Joslyn,Lief Llewellyn,Youopia,Morocco,Mongolian,5.1,294880.58,702736.78,10/6/2018,6/14/2023
Nothing But the Night,Comedy,Rosalyn Crumley,Gustaf Sandlin,Meemm,Philippines,Inuktitut,9.6,163856.95,147772.63,6/12/2021,10/3/2019
Russia 88,Fantasy,Alyosha Bondesen,Bruce Forsyth,Topicware,Mauritius,Kongo,5.1,7951856.04,268836.98,2/20/2017,10/23/2025
Feast II: Sloppy Seconds,Adventure,Monique Fishley,Beniamino Stille,Twiyo,Indonesia,Volapük,4.3,7838174.31,355954.54,10/13/2021,1/14/2021
Jurassic Park,Horror,Bethany Stockey,Elicia Tranckle,Quinu,Estonia,Norwegian Nynorsk,1.0,1039494.79,356967.88,6/20/2015,10/16/2023
Murders in the Zoo,Thriller,Batsheva Piele,Onfroi Abbyss,Ainyx,Sweden,Akan,0.4,1811853.88,517953.82,8/11/2017,1/4/2020
Living with Wolves,Adventure,Terza Goodwin,Phil Badini,Mynte,Philippines,Pali,3.7,5064868.35,121603.3,2/14/2025,5/7/2022
"Emperor and the Assassin, The (Jing ke ci qin wang)",Adventure,Dierdre Carlill,Mackenzie Dolder,Jabberstorm,Serbia,Ndonga,5.8,6488826.8,772271.66,2/19/2021,3/21/2015
"I, the Worst of All (Yo, la peor de todas)",Comedy,Elvyn Annakin,Estevan Buddle,Voonyx,Spain,Walloon,5.2,6609938.47,11396.74,3/19/2020,6/9/2015
Princess Yang Kwei Fei (Yôkihi),Adventure,Jeralee Bovingdon,Jaime Daley,Tagtune,Indonesia,Avaric,6.3,867705.6,587907.94,10/16/2020,9/21/2016
Getaway,Crime,Elenore Mougel,Romola Jenicke,Feedbug,United States,Sindhi,1.8,9515718.1,115244.98,12/5/2022,2/13/2023
"Dreamworlds II: Desire, Sex, Power in Music Video",Horror,Ezechiel Goley,Melisse Holde,Twinte,Venezuela,Nauru,1.8,136799.78,286726.53,9/11/2025,1/19/2015
Wild Horses (Caballos salvajes),Horror,Cassondra Pharoah,Fair Herculson,Twitterbridge,China,Bulgarian,1.2,116163.33,412691.62,5/6/2020,1/24/2017
Code Name Coq Rouge,Comedy,Avivah Piperley,Karney Gudeman,Yacero,Nigeria,"Bokmål, Norwegian",5.1,8034207.16,552459.3,11/15/2018,12/8/2020
"Sun Shines Bright, The",Romance,Ellswerth Haberfield,Patrick MacClenan,Voonte,China,Pali,7.5,8998226.23,88298.79,6/5/2018,6/14/2018
Four Brothers,Fantasy,Marcellus McQuilty,Skipper Czaple,Avamm,South Africa,Luxembourgish,0.8,6375803.67,313580.87,5/7/2021,6/5/2018
Personal Effects,Crime,Genvieve Puddan,Karlotta Isakson,Kimia,French Guiana,Aymara,6.1,4814224.03,669546.29,9/16/2017,4/5/2019
Jane Eyre,Thriller,Huntlee Bedberry,Chicky Tolland,Babbleset,South Africa,Chamorro,3.3,2165660.77,65803.55,5/17/2018,9/14/2019
Ernest & Célestine (Ernest et Célestine),Horror,Cy De Freyne,Brod Murrish,Feednation,China,Sinhala,1.2,4425050.53,666560.12,4/14/2023,6/15/2018
Somers Town,Action,Paquito Huttley,Rooney Vittore,Shufflebeat,China,Latvian,6.3,6004239.66,517946.69,2/8/2023,12/4/2023
"Mountain, The",Horror,Cordelia Leall,Balduin Gorthy,Skippad,Peru,Oromo,1.4,1591862.07,409968.46,10/22/2025,5/18/2018
Spread,Fantasy,Stacie Battison,Minette Callington,Skinte,Ukraine,Xhosa,9.5,3087468.93,475973.54,9/24/2018,10/12/2022
"She No Longer Talks, She Shoots",Drama,Lynda Orwell,Cullen Kilkenny,Dynazzy,Lithuania,Armenian,3.2,6303687.18,882712.35,12/4/2016,9/26/2018
"Family, The (Famiglia, La)",Action,Joella Clever,Heath Ishaki,Photofeed,China,Tagalog,6.9,1699061.82,545188.05,3/29/2016,5/3/2017
Othello,Thriller,Reggie Dumbreck,Derick Waldron,Oba,Mongolia,Romansh,8.3,3474157.81,936269.82,5/7/2018,12/26/2021
Night of the Demons 2,Adventure,Ree Penritt,Fiona Ennever,Einti,Philippines,Catalan,2.9,6027489.09,330513.07,1/17/2016,10/11/2025
Pretty Persuasion,Romance,Tabina Duckett,Tedie Chislett,Devbug,Samoa,Interlingua (International Auxiliary Language Association),5.8,9207866.1,70050.24,10/8/2016,12/29/2022
"American Dream, An",Thriller,Cissiee Ox,Brunhilde McElrea,Browsebug,Brazil,Marathi,7.7,3194672.52,23178.56,7/3/2017,6/18/2024
Nell,Drama,Kirk Harpur,Jobyna Georghiou,Skinder,China,Malayalam,4.4,4596746.58,919872.12,9/25/2024,4/26/2019
"Long Absence, The (Une aussi longue absence)",Sci-Fi,Zelma Michallat,Joey Lanney,Flashspan,Ireland,Japanese,8.3,8540079.3,173247.69,1/18/2019,6/28/2016
From Dusk Till Dawn 2: Texas Blood Money ,Drama,Melanie Pibworth,Ignaz O' Dornan,Livetube,South Africa,Russian,1.9,6323426.73,187067.43,7/5/2024,2/8/2018
Never Die Alone,Romance,Melisande Jankowski,Wang Mowat,Gigaclub,Indonesia,Lao,1.6,8167112.2,560137.2,12/25/2020,5/21/2017
C.H.U.D.,Action,Chlo Rosentholer,Olympie Reeson,Kamba,Brazil,Kalaallisut,5.2,2888188.62,284598.51,4/28/2017,2/20/2023
