movie_title,genre,release_date,director,lead_actor,box_office_sales,rating,production_company,country_of_origin,language,budget,sequel
Du côté de la côte,Horror,2/4/2022,Hasheem Collingdon,Ruperta Marris,8014894.48,2.7,Meedoo,Canada,Serbian,69384.32,FALSE
Tyler Perry's Why Did I Get Married?,Comedy,12/29/2012,Matthiew Anmore,Essa Kisar,4311279.75,7,Feednation,Haiti,Azerbaijani,851979.47,FALSE
"Testament of Orpheus, The (Testament d'Orphée)",Sci-Fi,8/15/2011,Juline Neate,Merry Fricker,1147811.07,7.5,Devpulse,China,Kannada,806200.09,TRUE
Sweet Liberty,Action,7/12/2006,Madelin Mycroft,Thornie O'Dennehy,1319336.08,0.9,Innojam,Indonesia,Kannada,929306.45,FALSE
Terminator 3: Rise of the Machines,Horror,8/1/2021,Max Yakhin,Karlotta Raff,9049057.65,1.1,Divanoodle,Indonesia,Finnish,613275.15,TRUE
Goliath Awaits,Sci-Fi,5/5/2002,Nolie Pauleit,Rivy Luckes,1573810.33,1.7,Realbridge,China,Nauru,582814.8,FALSE
Naked Gun 33 1/3: The Final Insult,Drama,11/10/2005,Reg Spottiswood,Edyth Vouls,3659594.17,0.7,Wikizz,China,Chechen,686912.12,TRUE
"Flintstones in Viva Rock Vegas, The",Horror,10/17/2005,Bobbie Cringle,Nanon Truran,5043309.69,4.6,Skajo,Japan,Kurdish,430934.52,TRUE
Young and Innocent,Action,12/17/2005,Torey Francescuccio,Charmion Minton,1602917.06,6.2,Tagchat,Philippines,Armenian,401048.23,FALSE
"Pom Pom Girls, The",Comedy,3/14/2004,Valentine Trimble,Thaxter Samwell,917236.99,1.8,Meeveo,China,"Sotho, Southern",18130.69,TRUE
"Devil, Probably, The (Diable probablement, Le)",Comedy,9/19/2003,Burk Ife,Wendall Hawthorn,6782330.23,1.1,Babbleblab,Ukraine,Lao,306180.77,FALSE
"Time That Remains, The",Drama,1/19/2009,Taber Lorincz,Ewen Botham,9031324.18,1.4,Meezzy,Philippines,Romanian,295926.17,TRUE
Patton,Action,5/11/2020,Broddie Minucci,Jamie Farmery,8963714.02,3.9,Kanoodle,Russia,Slovenian,716033.83,FALSE
Comin' at Ya!,Action,12/27/2018,Guss Brennon,Rutledge Brinded,7658958.16,2.1,Npath,China,Tajik,272913.72,TRUE
Post Tenebras Lux,Horror,7/22/2003,Herbert Akid,Brose Birrane,6549514.91,2.5,Trunyx,Armenia,Luxembourgish,228120.33,FALSE
Life Is Beautiful (La Vita è bella),Horror,10/26/2014,Gearalt O'Carrol,Odette Gofforth,3204378.75,2.9,Shufflester,China,Chinese,467251.52,FALSE
Doomed to Die,Horror,4/26/2021,Flossi Gaylord,Yehudi Farherty,3292783.17,9.2,Gevee,China,"Ndebele, South",147757.81,FALSE
Hannah Free,Action,4/5/2002,Karlene Jachtym,Hadley Daverin,5825562.75,8.8,Livetube,Iran,Chechen,984656.62,TRUE
Brown's Requiem,Horror,10/10/2013,Abie Camolli,Mikkel Vaughan-Hughes,9652912.71,6.5,Eazzy,Morocco,Pushto,440528.24,FALSE
"Man Vanishes, A (Ningen Johatsu)",Sci-Fi,1/21/2017,Vicky Hoff,Lila Dagnan,5631743.21,2.5,Mycat,Mongolia,Tonga (Tonga Islands),799082.76,TRUE
Star Trek II: The Wrath of Khan,Sci-Fi,8/13/2012,Vi McCreath,Thomas Linebarger,3322831.19,0.2,Devify,Poland,Hungarian,214887.48,TRUE
Business as Usual,Drama,3/2/2008,Earlie Gorse,Chaddie Fynes,7172651.85,8.4,Youtags,Sweden,Tahitian,869206.99,TRUE
"Hollywood Complex, The",Horror,3/30/2011,Laure Piggott,Adda Kilty,8678730.7,2.9,Skimia,Thailand,Kashmiri,458936.85,FALSE
The Girl from the Marsh Croft,Comedy,9/23/2018,Nannie d' Eye,Ardelis Iddins,2363066.52,7.3,Photojam,Indonesia,Chuvash,602159.2,FALSE
"Desert of Forbidden Art, The",Action,5/18/2004,Shalne McKoy,Cecil Campanelle,8421980.39,8.2,Cogidoo,Russia,Cree,982478.71,TRUE
Holidays by the Sea (Ni à vendre ni à louer),Action,1/1/2003,Ebony Woodison,Marcia Northfield,9677616.5,2.8,Shufflester,Poland,Kinyarwanda,465021.81,FALSE
Show Me,Comedy,1/9/2009,Concordia Buss,Guillaume Budgey,5977687.27,6.8,Yamia,Philippines,Vietnamese,228132.13,FALSE
Scream of Stone (Cerro Torre: Schrei aus Stein),Drama,12/6/2010,Kerrie Deble,Abbott Mayfield,5201608.2,0.5,Skivee,Indonesia,Swati,381731.07,TRUE
"Walk Among the Tombstones, A",Drama,9/3/2000,Bald Waterfield,Sven Selley,1680050.39,5.5,Chatterpoint,South Africa,Sundanese,531318.84,TRUE
"Candidate, The",Horror,9/23/2012,Trudi Camm,Rand Jinda,7469774.82,2.9,Dablist,Malaysia,Azerbaijani,955739.35,TRUE
"Yank in the R.A.F., A",Horror,7/27/2006,Fionna Dunwoody,Tarrance Borthram,7570285.55,4.2,Buzzshare,Russia,French,259903.19,FALSE
Beautiful Boxer,Comedy,5/10/2004,Kaitlyn Bassom,Amalita Scottini,8217906.73,2.9,Zoonder,Ireland,Latin,764523.26,TRUE
"Best Little Whorehouse in Texas, The",Action,11/5/2022,Olympe Dimmock,Gerry Tonkes,8973767.97,8.8,Blogtag,Colombia,Zhuang,18583.65,FALSE
"Heart in Winter, A (Un coeur en hiver)",Drama,3/4/2016,Shani Mum,Merlina Retallack,4945162.3,6.2,Mydeo,Russia,Avaric,532796.39,FALSE
Bert - Den siste oskulden,Action,4/11/2019,Lurette Mechic,Dulci Delouch,2309282.65,5.8,Lajo,Iraq,Welsh,698653.49,TRUE
El Lobo,Horror,10/23/2017,Corilla Lally,Nap Hilling,6581658.99,0.4,Oyondu,Indonesia,Kanuri,863767.95,FALSE
Mentor,Comedy,8/17/2021,Kingsly Brownlow,Quill Billitteri,8580149.03,8,Zoomzone,Norway,Sichuan Yi,634079.38,TRUE
Sands of Iwo Jima,Sci-Fi,10/9/2018,Ingeberg Dyka,Juliet Hully,2845603.97,2.6,Tagtune,China,Bengali,71953.57,TRUE
Au revoir les enfants,Comedy,11/14/2012,Marley Ceney,Alverta Parlour,9809254.42,7.7,Feedspan,Argentina,Xhosa,214086.38,FALSE
Dragon (Wu Xia),Drama,9/21/2005,Timmy Hinsche,Heather Jeratt,6131776.51,4.1,Trupe,Thailand,Macedonian,896818.18,FALSE
Universal Soldier,Drama,2/28/2015,Bernard Brozsset,Paulie Grint,8397519.37,7.7,Rhybox,China,Japanese,703593.97,TRUE
Fun,Comedy,2/7/2018,Sloane Skingle,Joelie Halbert,8191063.32,2.9,Ailane,Japan,Russian,228341.68,FALSE
Cabaret,Horror,1/28/2014,Berna Yaldren,Kirk Lownie,7178993.73,7.4,Brainsphere,Brazil,Basque,762238.57,TRUE
"Monster Squad, The",Comedy,7/2/2014,Menard Edney,Karin Jeffreys,4439565.24,8.2,Omba,Nigeria,Bislama,306006.24,TRUE
"Dust of Time, The",Drama,8/19/2003,Sarette Kilfoyle,Bethanne Enrico,1293891.03,1.7,Geba,China,Uzbek,577362.12,TRUE
"Grey Fox, The",Horror,4/6/2005,Alexandros Marians,Algernon Somner,1499005.3,2.3,Tagcat,Portugal,Kashmiri,492533.94,FALSE
Make Believe,Action,3/4/2008,Jeth Ponten,Bethanne Netherwood,3251060.93,0.6,Dazzlesphere,China,Marathi,953680.13,TRUE
Grease,Sci-Fi,4/12/2017,Quintana Ouldred,Jannel Ikin,2582839.13,8.1,Twitterwire,Sweden,Marshallese,310585.57,TRUE
Ski Patrol,Sci-Fi,1/8/2009,Tiff Wingar,Nicky Dragon,254330.36,8.6,Katz,Russia,Kazakh,562059.69,TRUE
Kama Sutra: A Tale of Love,Drama,1/5/2020,Berta Leigh,Germain Gudgen,730823.52,9.6,Zoombeat,Bolivia,Inuktitut,931198.63,TRUE
Montana,Drama,4/29/2007,Annabal Picker,Tommi McAlarney,185435.24,2.4,Photospace,Saudi Arabia,Japanese,745254.71,FALSE
Friend Zone (Pagafantas),Horror,12/6/2000,Leola Rois,Ernaline Mammatt,1769051.43,1.2,Tambee,Russia,Swedish,73920.5,TRUE
Who's Your Daddy?,Sci-Fi,10/19/2013,Ainslee Stratz,Catriona Kayley,2357806.73,8.9,Kwideo,China,Tigrinya,31134.04,FALSE
The Siege of Firebase Gloria,Comedy,7/5/2009,Craig Spillett,Blancha Pitsall,2775481.43,7.3,Meejo,China,Azerbaijani,599338.87,TRUE
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)",Action,5/26/2001,Cesaro Jonathon,Sheeree Endrizzi,1122044.18,3.6,Skipstorm,Egypt,Norwegian Nynorsk,721244.24,FALSE
"Puppet Masters, The",Action,12/15/2003,Ricki Idney,Rockie MacCaughen,5297167.14,8.2,Buzzbean,Indonesia,Irish,197611.28,TRUE
Sweet Smell of Success,Horror,10/5/2000,Stephen Shird,Lesley Esberger,7135743.67,5.2,Flashpoint,China,Yoruba,402250.93,FALSE
Collision Earth,Drama,8/11/2011,Eloisa Kleinhausen,Marice Frandsen,6345658.39,0.7,Eare,China,Lao,361440.78,TRUE
Roustabout,Action,2/18/2003,Biron Goad,Michaella Starte,9571569.51,2.3,Photolist,Indonesia,Welsh,77819.12,TRUE
Kundun,Sci-Fi,4/18/2005,Gratia Craik,Fanechka Crompton,5099717.53,8.6,Feedfish,Palestinian Territory,Galician,464836.51,FALSE
Thawing Out (La fonte des neiges) ,Comedy,10/28/2011,Dionne Isabell,Svend Heppenspall,4989625.94,3.4,Trilith,Serbia,"Sotho, Southern",61132.23,TRUE
Celine and Julie Go Boating (Celine et Julie vont en bateau),Sci-Fi,3/21/2020,Orv Fife,Killian Nuccitelli,7483646.15,3.4,Flipstorm,Indonesia,Igbo,973954.84,TRUE
7th Floor,Action,12/21/2000,Mohandis Treace,Drusilla Courtliff,1382489.73,3.5,Gabvine,Poland,Bashkir,753226.81,TRUE
Shadows (Senki),Action,3/1/2015,Winnie Byrkmyr,Darda Littefair,6827464.87,6.3,Ailane,Brazil,Aymara,455183.22,FALSE
Traffic Affairs (Mitfahrer),Sci-Fi,6/7/2009,My Jendrich,Emile Cote,5725554.68,6.3,Meevee,Taiwan,Herero,306221.84,TRUE
Now and Then,Comedy,3/22/2000,Arvy Kilroy,Nestor Bibby,3231596.93,8.2,Camido,Indonesia,Tahitian,847191.45,FALSE
Enemy at the Gates,Comedy,10/6/2007,Ware Kuscha,Innis Castellino,9102309.61,9,Skyvu,France,Estonian,252256.4,FALSE
One Mile Away,Sci-Fi,11/30/2017,Dana Chicchetto,Miguela Zoellner,4158614.9,4.6,Browseblab,Netherlands,Indonesian,989488.65,FALSE
Urgh! A Music War,Comedy,4/11/2010,Elston Hawksley,Rossie Glanert,3478786.24,2,Meeveo,Peru,Western Frisian,825440.63,FALSE
Just love me (Tylko mnie kochaj),Comedy,5/9/2019,Sandy Adney,Alvis Francklyn,2187117.75,3.7,Meevee,Swaziland,Tatar,888771.14,TRUE
Freakin' Beautiful World (Sairaan kaunis maailma),Sci-Fi,2/28/2012,Marten Batteson,Odessa Corbyn,6888907.36,1.7,Realbuzz,Indonesia,Oriya,681410.3,TRUE
Déjà Vu (Deja Vu),Horror,9/23/2014,Biron Hernik,Aubert Moulster,8201677.93,8,Eire,Russia,Yoruba,442785.94,FALSE
Stockholm Stories,Horror,11/17/2009,Dolf Rains,Timothy Kolis,7892216.29,6.6,Flashset,Guam,Finnish,827997.85,FALSE
Cold Prey III (Fritt Vilt III),Horror,9/4/2017,Gilberte O'Dowling,Bobbie Buckthorp,6681831.23,5,Skyndu,Poland,Occitan (post 1500),557447.93,TRUE
Godspeed You! Black Emperor,Comedy,9/12/2014,Jarrid Clementel,Keir Mowsdell,2462964.34,2.7,Gabspot,China,Central Khmer,881657.05,TRUE
"Fast Five (Fast and the Furious 5, The)",Drama,5/29/2015,Jolynn Barrs,Kris Pranger,8547252.87,3,Jetpulse,China,Afar,499373.71,FALSE
Poor White Trash,Sci-Fi,7/1/2009,Briano Dukes,Federica Kavanagh,8006231.21,8.2,Twimm,Sweden,Luba-Katanga,671126.6,TRUE
How Tasty Was My Little Frenchman (Como Era Gostoso o Meu Francês),Drama,2/24/2000,Gard Andreini,Tanner Stoven,1147228.1,4.5,Bubbletube,France,Ojibwa,152671.07,TRUE
Blind (Beul-la-in-deu),Action,9/29/2005,Berkley Willmer,Grannie Salomon,5356309.87,4.3,Linktype,Indonesia,Luxembourgish,499629.24,TRUE
Jay And Silent Bob's Super Groovy Cartoon Movie,Drama,5/22/2009,Maximilian Layburn,Anitra Bunkle,4833903.07,8.4,Camimbo,United States,German,491620.78,FALSE
Kairat,Drama,7/29/2011,Clementina Ayer,Fancie Castiblanco,2912469,9.7,Browsebug,Sweden,Komi,184225.22,TRUE
Lonely Are the Brave,Comedy,12/17/2011,Hashim Ginnally,Asa Pash,7804067.57,2.7,Shuffledrive,China,Azerbaijani,770298.39,TRUE
Follow the Fleet,Action,3/27/2013,Rebeca Martino,Katya Reinger,1398573.99,0.4,Youopia,Argentina,Cornish,724926.48,TRUE
"Power of Kangwon Province, The (Kangwon-do ui him)",Action,1/1/2015,Johannah Pinwill,Phylis Lumm,8784137.53,1.8,Kayveo,United States,Kinyarwanda,774330.67,TRUE
"Poseidon Adventure, The ",Action,2/18/2014,Forester Blakemore,Rabi Fulep,5681969.99,8,Shufflebeat,Macedonia,Divehi,584036.31,FALSE
"Notti bianche, Le (White Nights)",Comedy,6/22/2002,Melesa Bausor,Wendie Standring,7959741.34,5.5,Livefish,Indonesia,Akan,943231.56,TRUE
"First Deadly Sin, The",Comedy,4/12/2001,Vail Ketcher,Addison Bolin,1546195.51,8.9,Yodo,Jamaica,Marshallese,662550.12,TRUE
External Affairs,Action,5/21/2011,Nolan Vasilov,Bartlet Tatnell,3057785.12,4.6,Babbleblab,Indonesia,Gaelic,600411.03,TRUE
Sparkle,Horror,9/22/2020,Bertrando Skettles,Wyatt Brower,990990.4,3.2,Edgeclub,Indonesia,Abkhazian,99502.09,TRUE
Ride Beyond Vengeance,Horror,3/21/2007,Antonina Sibun,Dion Martina,1757375.89,5.4,Feedfire,China,Romansh,852239.57,FALSE
Nuts,Comedy,3/13/2019,Garnet Pyffe,Jennifer Samper,6294356.9,7.7,Devshare,Indonesia,Lingala,436565.42,TRUE
Rapid Fire,Comedy,2/6/2002,Eran Male,Krystle Coultass,1798077.38,1.8,Mymm,France,Kongo,802580.78,TRUE
Rhyme & Reason,Comedy,3/26/2003,Torrey Broseke,Ingmar Giabucci,667190.13,9.2,Photofeed,China,Norwegian Nynorsk,502215.16,TRUE
Abbott and Costello in the Foreign Legion,Sci-Fi,12/9/2011,Michelina Vasyanin,Patrick Artois,5366135.98,1.7,Mynte,Poland,Norwegian,229217.63,FALSE
Nine Deaths of the Ninja,Horror,4/15/2004,Sorcha Domney,Leslie Donett,4462250.1,2.6,Vipe,Indonesia,Dutch,831597.67,TRUE
Tokyo Zombie (Tôkyô zonbi),Drama,6/1/2022,Erasmus Jurges,Sabina Kettlesing,9056742.02,5.1,Twitterwire,France,Ojibwa,78860.21,FALSE
"Organization, The",Drama,4/23/2011,Murry Malyj,Brandea Able,6147753.18,1.8,Gigazoom,Russia,Tigrinya,803488.43,TRUE
I Accuse,Sci-Fi,12/25/2001,Gene Applegate,Alex Donaghy,3476149.26,4,Aivee,Egypt,Irish,773382.7,TRUE
Casino Royale,Action,11/18/2009,Beverly Dencs,Hubey Medley,1970889.86,1.8,Realfire,Russia,Chinese,361697.29,TRUE
Bless the Child,Action,10/8/2003,Sherry Chevis,Em Marriot,728502.34,6.2,Tagcat,Indonesia,Telugu,133475.5,TRUE
"Ring Two, The",Action,12/16/2014,Ronnie Place,Maiga Suddick,6711062.36,9.2,Kwideo,Colombia,Inupiaq,903717.82,FALSE
Baghead,Drama,6/17/2006,Lanny Yitzovicz,Melisande Cater,6124685.1,9.9,Quinu,Thailand,Tagalog,381776.8,TRUE
Lady Killer,Comedy,4/1/2022,Cristine Tamblyn,Barnie Gaitley,6158125.87,8.7,Photobean,Indonesia,Croatian,365087.01,FALSE
Next,Action,6/11/2004,Elana Lippitt,Kassie Churchyard,9215259.98,1.4,Plajo,New Zealand,Ewe,123068.81,FALSE
"Banger Sisters, The",Drama,9/3/2020,Darya Skace,Sigfrid Winsom,7920638.27,5.7,InnoZ,South Korea,"Ndebele, North",917091.12,TRUE
Sleepover,Drama,6/17/2004,Salomone Nazair,Coral Hazelgrove,4190354.23,5.2,Fatz,Sweden,French,683520.34,TRUE
Son in Law,Horror,1/2/2015,Karissa Burberry,Cristian Basnett,2199875.59,5.5,Browsecat,China,Lingala,443941.61,TRUE
Die Another Day,Sci-Fi,9/4/2012,Henry Titcombe,Robbert Bond,6495854.05,4.2,Voonder,Russia,Persian,150945.6,TRUE
"Sun Also Rises, The",Drama,8/4/2022,Ashil Olenchenko,Ingamar Disbrey,8391973.29,1.3,Mydeo,Dominican Republic,Venda,810881.49,FALSE
Mona Lisa,Drama,11/14/2002,Stevena Keavy,Chet McCurtain,5022784.77,0.1,Thoughtstorm,Portugal,Uzbek,266612.4,FALSE
"Land Before Time, The",Comedy,6/7/2012,Francesco Petit,Jeanelle Coales,587022.04,2,Tagcat,China,Ewe,415196.83,FALSE
Raw Meat (Death Line),Drama,4/14/2007,Lynnett Kurt,Lari Terrill,7348321.93,7.7,Jabbercube,United States,Chichewa,477805.93,FALSE
Rent,Comedy,8/27/2022,Herrick Sharrard,Jacenta Lewis,6587338.32,6,Meevee,China,Welsh,610810.05,FALSE
Ricky & Barabba,Horror,1/4/2015,Vachel Musterd,Eziechiele Housley,8836602.11,7.2,Quimba,Syria,Divehi,356342.98,FALSE
False as Water (Falsk som vatten),Drama,7/11/2017,Jermain McCosh,Mata Scoffham,3186341.61,8.3,Wikizz,Philippines,Avaric,553272.15,TRUE
Lockdown,Action,11/12/2022,Townie Keedwell,Angie Borkin,2281880.64,0.9,Mydeo,China,Venda,411332.34,FALSE
Glasses (Megane),Sci-Fi,3/23/2001,Reed Fullalove,Crichton Kiessel,3567182.64,1.2,Yozio,Brazil,Luba-Katanga,96581.88,TRUE
Lost Horizon,Horror,1/6/2013,Welsh Royste,Calley Dury,8382536.52,7.4,Devcast,Malta,Chamorro,663561.51,TRUE
Mad Ron's Prevues from Hell,Horror,7/14/2011,Grata Marklew,Willetta Paxforde,1283219.62,4.6,Bluejam,Benin,Indonesian,836651.53,FALSE
"French Connection, The",Horror,10/4/2010,Gunther Henlon,Arluene Springthorpe,1219186.07,5.7,Ailane,Ireland,Sango,16233.21,TRUE
Excuse Me for Living,Comedy,11/18/2020,Hilliard Jacmar,Aleta Isaac,1224928.9,3.2,Vinder,Benin,Pushto,52506.99,TRUE
"Spaghetti West, The",Action,5/9/2020,Herrick Filippyev,Inglis Heinsh,8944173.46,6,Wikizz,Argentina,Marshallese,315222.17,FALSE
Modern Romance,Sci-Fi,12/10/2000,Aurelia Glowacz,Atalanta Beloe,8686495.74,8.6,Thoughtworks,Indonesia,Serbian,889317.77,TRUE
"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano)",Action,4/7/2008,Sigfried Smellie,Koo Burchard,4516237.04,4.4,Minyx,China,Central Khmer,439656.94,FALSE
